TEAM NAME,SLOT,TYPE,TEXTURE,FILENAME
louisiana,ALL,TEAM,glove-team-1.png,ed604dcd31bc5fd8-1265d2585bffbe43-000059d3.png
louisiana,ALL,TEAM,glove-team-2.png,ed604dcd31bc5fd8-fd9f25b0ed7856a2-000059d3.png
